FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Marvin,Emnes,FWD,SWA,4400000,0,0,0,0,0,0,18384,0,0,0,0,0,0,0,0,609,-1,0,0,1,0,0,0,0,0,0,0,0,0.4,12062,0,4,0,0,0,449,0,0,0,Crystal Palace,Tottenham,Sunderland,West Brom,Middlesbrough,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Christian,Eriksen,MID,TOT,8100000,2,37,3.4,4.19753086419753E-07,4.5679012345679E-06,0,325980,0,8,0,0,0,0,0,4.6,9941,-4,0,37,4,0.2,0,2,2,0,4,0,3,4.5,72242,0,738,0,0,953,618,0,0,146,Chelsea,Swansea,Man Utd,Hull City,Burnley,1.9,3.3,2.9,3.2,4.3,2.5,2.7,2.8,3.1,2.1,3.5,3.6,1.7,3.2,3.8,2.7,3.4,2.4,3.2,3.6,3.8,2.9,2.3,2.2,3.6,2.8
Jonny,Evans,DEF,WBA,4500000,6,27,2.5,5.55555555555556E-07,6E-06,0,189044,5,13,0,0,0,0,0,6,3001,0,0,27,0,0.6,0,2.7,2,0,3,0,0,7.2,172490,0,343,0,1,990,5332,0,0,173,Hull City,Watford,Chelsea,Swansea,Man Utd,2.5,2.4,1.7,2.2,1.8,3.5,2.4,2.4,2,2.1,2.4,2.8,3.2,3.2,2.5,1.8,3.2,1.7,2.1,2.7,3.6,1.9,2.2,1.7,2.1,2.5
Lukasz,Fabianski,GLK,SWA,5000000,4,41,3.4,6.8E-07,8.2E-06,0,86108,0,22,0,37,0,0,0,8.2,3047,0,0,41,0,0.4,0,2,5,0,2,0,0,4.8,130759,0,366,1,0,1080,2032,0,0,220,Crystal Palace,Tottenham,Sunderland,West Brom,Middlesbrough,3.8,3.4,3.1,3.9,3.9,4.6,4.6,4.4,4.2,4.4,4,3.2,3.3,3,4,4.1,3.9,3.1,3.6,4.5,3.6,4.1,2.9,3.7,3,3.5
,Fabio,DEF,MID,4400000,2,2,0.0555555555555556,1.26262626262626E-08,4.54545454545455E-07,0,740,0,1,0,0,0,0,0,0.5,41,-1,0,2,1,0.2,0,0.7,0,0,0,0,0,0,903,0,0,0,0,70,285,0,0,13,Leicester,Hull City,Southampton,Liverpool,Swansea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cesc,Fabregas,MID,CHE,6900000,0,7,0.194444444444444,2.81803542673108E-08,1.01449275362319E-06,0,211519,0,3,0,0,0,0,0,1,532,-6,0,7,6,0,0,0,0,0,0,0,1,1.6,25146,0,617,0,0,89,93,0,0,41,Tottenham,Man City,West Brom,Sunderland,Crystal Palace,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Adam,Federici,GLK,BOU,4400000,7,7,0.194444444444444,4.41919191919192E-08,1.59090909090909E-06,0,1863,1,0,0,5,0,0,0,1.6,68,-1,0,7,1,0.5,0,2.3,1,0,1,0,0,0.1,1056,0,31,0,0,90,450,0,0,28,Arsenal,Liverpool,Burnley,Leicester,Southampton,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Sofiane,Feghouli,MID,WHU,5100000,0,4,0.111111111111111,2.17864923747277E-08,7.84313725490196E-07,0,133109,1,3,0,0,0,0,0,0.8,502,-4,0,4,4,0.1,0,0.7,0,0,0,0,0,0.7,6580,0,0,0,0,133,22,0,0,19,Man Utd,Arsenal,Liverpool,Burnley,Hull City,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Marouane,Fellaini,MID,MUN,5800000,0,15,1.7,2.93103448275862E-07,2.58620689655172E-06,0,16310,4,9,0,0,0,0,0,2.6,326,-2,0,15,2,0.2,0,1,0,0,3,0,0,0.3,10058,0,164,0,0,693,35,0,0,120,West Ham,Everton,Tottenham,Crystal Palace,West Brom,1,0.8,1,0.9,0.9,1.6,1.1,0.8,0.8,1,1,1,1.2,0.8,1.3,0.8,1.2,0.9,1.2,1.2,0.8,0.8,1,0.8,0.8,0.9
Leroy,Fer,MID,SWA,5000000,2,44,4,8E-07,8.8E-06,0,373252,2,16,0,0,0,4,0,8.8,17482,0,1,44,0,0.3,0,1.7,3,0,2,0,0,7.5,530312,0,107,0,1,879,4979,-1,0,183,Crystal Palace,Tottenham,Sunderland,West Brom,Middlesbrough,3.3,3.3,5.1,3.9,4.9,3.7,4.3,4.1,2.5,2.3,3.8,3.2,5.3,3,4.8,4.2,3.4,4,3.5,3.4,4,3.6,4.3,4.2,4.9,3.5
