FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Nacho,Monreal,DEF,ARS,5900000,1,56,2.9,4.91525423728814E-07,9.49152542372881E-06,0,185763,2,21,0,0,0,0,0,9.5,5347,-1,0,56,1,0.3,0,1.8,4,0,5,0,1,4,105666,0,511,0,0,1623,2648,0,0,342,Swansea,Burnley,Watford,Chelsea,Hull City,2.6,3.4,3.1,2.3,3.4,3,2.9,2.8,2.6,3,4.1,3,2.6,2.9,2.4,2.3,3.1,3
Jefferson,Montero,MID,SWA,5000000,0,16,0.266666666666667,5.33333333333333E-08,3.2E-06,0,8214,0,9,0,0,0,0,0,3.2,67,-5,0,16,5,0.3,0,1.3,0,0,0,0,1,0.1,2317,0,202,0,0,347,6,0,0,70,Arsenal,Liverpool,Southampton,Man City,Leicester,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Alberto,Moreno,DEF,LIV,4400000,1,10,0.166666666666667,3.78787878787879E-08,2.27272727272727E-06,0,143820,1,6,0,0,0,0,0,2.3,723,-6,1,10,6,0.1,0,0.3,1,0,0,0,1,1.6,15967,0,394,0,0,257,256,-1,0,59,Man Utd,Swansea,Chelsea,Hull City,Tottenham,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Wes,Morgan,DEF,LEI,4800000,6,54,2.7,5.625E-07,1.125E-05,0,678517,2,31,0,0,0,1,0,11.3,11639,-2,0,54,2,0.5,0,2.5,0,0,5,0,1,14.5,278690,0,549,0,0,1800,4515,0,0,288,Chelsea,Southampton,Burnley,Man Utd,Swansea,2.9,2.4,1.4,2.2,2,3.6,3.3,2.6,2.8,3.5,2.9,1.6,2.4,3.3,2,3.1,1.9,3.5
James,Morrison,MID,WBA,4600000,7,42,0.7,1.52173913043478E-07,9.13043478260869E-06,0,16481,2,7,0,0,0,3,0,9.1,1324,-4,0,42,4,0.5,0,2.3,2,0,2,0,1,0.4,27348,0,266,0,0,737,3161,0,0,159,Tottenham,Sunderland,Middlesbrough,Stoke,West Ham,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
Victor,Moses,MID,CHE,5700000,2,62,3.3,5.78947368421053E-07,1.08771929824561E-05,0,129367,3,6,0,0,0,3,0,10.9,13609,2,1,62,-2,0.4,0,2.3,4,0,10,0,1,3.1,241733,0,127,0,1,1246,4505,-1,0,255,Leicester,Hull City,Liverpool,Arsenal,Burnley,2.7,3.3,1.6,2.4,2.4,3.3,2.1,4,2.5,3,2.7,2.2,2.6,3.3,2.4,3.5,2.4,4.6
Lys,Mousset,FWD,BOU,5200000,0,2,0.0333333333333333,6.41025641025641E-09,3.84615384615385E-07,0,3038,0,1,0,0,0,0,0,0.4,64,-3,0,2,3,0,0,0,0,0,0,0,0,0.1,1246,0,0,0,0,25,30,0,0,1,Hull City,Watford,Crystal Palace,Everton,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marc,Muniesa,DEF,STK,4100000,0,23,0.383333333333333,9.34959349593496E-08,5.60975609756098E-06,0,25616,1,3,0,0,0,1,0,5.6,2906,-4,0,23,4,0.1,0,0.3,3,0,2,0,0,0.7,42956,0,111,0,1,289,2460,0,0,88,Sunderland,Man Utd,Everton,West Brom,Crystal Palace,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Ahmed,Musa,FWD,LEI,6900000,1,31,0.516666666666667,7.48792270531401E-08,4.49275362318841E-06,0,406642,1,11,0,0,0,2,0,4.5,1478,-6,0,31,6,0.1,0,0.5,5,0,1,0,0,3.2,75570,0,0,0,0,536,279,0,0,97,Chelsea,Southampton,Burnley,Man Utd,Swansea,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Shkodran,Mustafi,DEF,ARS,5800000,0,36,2.8,4.82758620689655E-07,6.20689655172414E-06,0,85509,4,12,0,0,0,0,0,6.2,1251,-2,0,36,2,0,0,0.2,2,0,3,0,1,0.9,96845,0,0,0,0,1104,2364,0,0,235,Swansea,Burnley,Watford,Chelsea,Hull City,2.5,3.2,3,2.2,3.3,2.9,2.8,2.6,2.5,2.8,3.9,2.9,2.4,2.8,2.2,2.1,2.9,2.8
