FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW6Forecast,GW7Forecast,GW8Forecast,GW9Forecast,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Henrikh,Mkhitaryan,MID,MUN,9000000,0,4,0.266666666666667,2.96296296296296E-08,4.44444444444444E-07,0,222503,0,2,0,0,0,0,0,0.4,11634,-5,1,4,5,0.1,0,0.7,0,0,0,0,0,1.6,4239,0,0,0,0,107,63,-1,0,8,Leicester,Stoke,Liverpool,Chelsea,Burnley,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Nacho,Monreal,DEF,ARS,6000000,2,14,2.8,4.66666666666667E-07,2.33333333333333E-06,0,80131,1,7,0,0,0,0,0,2.3,12300,0,0,14,0,0.3,0,1.7,3,0,1,0,0,4.6,20930,0,511,0,0,433,1641,0,0,93,Chelsea,Burnley,Swansea,Middlesbrough,Sunderland,2.1,2,2.4,1.9,3.2,2.6,1.9,3.9,3.5,3.4,2.5,2.1,2.5,3.4,2.9,3.3,3.1,2,2.2,1.7,3.3,3.5,2.6,2.8,1.9,4.1,3.5,2.4,2.5,2.7,1.6,4.1,1.9
Jefferson,Montero,MID,SWA,5200000,1,4,0.266666666666667,5.12820512820513E-08,7.69230769230769E-07,0,5886,0,2,0,0,0,0,0,0.8,756,-3,1,4,3,0.1,0,0.7,0,0,0,0,0,0.1,1673,0,202,0,0,120,47,-1,0,30,Man City,Liverpool,Arsenal,Watford,Stoke,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Alberto,Moreno,DEF,LIV,4700000,0,2,0.133333333333333,2.83687943262411E-08,4.25531914893617E-07,0,103047,1,3,0,0,0,0,0,0.4,12917,-3,1,2,3,0.1,0,0.3,0,0,0,0,0,2.4,6724,0,394,0,0,105,622,-1,0,12,Hull City,Swansea,Man Utd,West Brom,Crystal Palace,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Wes,Morgan,DEF,LEI,5000000,6,21,4.2,8.4E-07,4.2E-06,0,236216,0,7,0,0,0,1,0,4.2,38653,0,0,21,0,0.9,0,4.7,0,0,2,0,0,23.8,168033,0,549,0,0,450,46903,0,0,95,Man Utd,Southampton,Chelsea,Crystal Palace,Tottenham,2.2,6.3,2.7,6.3,3.4,5.6,3.5,4.7,4.1,4.8,3.6,4.7,4.7,6.3,2.9,5,3.5,2.4,4.1,4.3,6.3,4.5,4.7,3.7,6,5.6,3,4.2,5.7,3.6,4.9,2.5,6.3
James,Morrison,MID,WBA,4800000,1,2,0.133333333333333,2.77777777777778E-08,4.16666666666667E-07,0,2094,0,0,0,0,0,0,0,0.4,299,-2,0,2,2,0.1,0,0.3,0,0,0,0,0,0.1,379,0,266,0,0,21,44,0,0,4,Stoke,Sunderland,Tottenham,Liverpool,Man City,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Victor,Moses,MID,CHE,5500000,1,10,0.666666666666667,1.21212121212121E-07,1.81818181818182E-06,0,3968,0,0,0,0,0,1,0,1.8,972,0,0,10,0,0.5,0,2.7,0,0,0,0,0,0.2,3761,0,127,0,0,61,224,0,0,35,Arsenal,Hull City,Leicester,Man Utd,Southampton,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Lys,Mousset,FWD,BOU,5300000,0,0,0,0,0,0,1757,0,0,0,0,0,0,0,0,168,-2,0,0,2,0,0,0,0,0,0,0,0,0.1,363,0,0,0,0,0,88,0,0,0,Everton,Watford,Hull City,Tottenham,Middlesbrough,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marc,Muniesa,DEF,STK,4300000,0,0,0,0,0,0,2526,0,0,0,0,0,0,0,0,384,-2,1,0,2,0,0,0,0,0,0,0,0,0.1,411,0,111,0,0,0,86,-1,0,0,West Brom,Man Utd,Sunderland,Hull City,Swansea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ahmed,Musa,FWD,LEI,7100000,0,5,0.333333333333333,4.69483568075117E-08,7.04225352112676E-07,0,314553,0,5,0,0,0,0,0,0.7,32776,-4,1,5,4,0.1,0,0.7,0,0,0,0,0,4.3,24319,0,0,0,0,155,795,-1,0,16,Man Utd,Southampton,Chelsea,Crystal Palace,Tottenham,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Shkodran,Mustafi,DEF,ARS,6000000,2,4,0.266666666666667,4.44444444444444E-08,6.66666666666667E-07,0,6600,0,2,0,0,0,0,0,0.7,2458,0,0,4,0,0.3,0,2,0,0,0,0,0,0.5,20026,0,0,0,0,180,2106,0,0,38,Chelsea,Burnley,Swansea,Middlesbrough,Sunderland,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
