FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Pedro,Chirivella,MID,LIV,4200000,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,110,-3,0,0,3,0,0,0,0,0,0,0,0,0.1,1867,0,2,0,0,0,294,0,0,0,Man City,Sunderland,Man Utd,Swansea,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Christian Benteke,FWD,CRY,7700000,-1,65,4.1,5.32467532467532E-07,8.44155844155844E-06,0,501846,4,30,0,0,0,8,0,8.4,87163,2,0,65,-2,0.5,2,4.2,6,0,1,0,1,9.3,761346,0,315,0,1,1423,7067,0,0,201,Arsenal,Swansea,West Ham,Everton,Bournemouth,4.5,5.5,4.8,4.6,3.8,5.3,4.6,4.6,4.5,4.9,4.9,3.7,4.1,4.4,5.8,4.7,5.7,4.9,5.5,4.3
Josh,Clackstone,DEF,HUL,4000000,0,0,0,0,0,0,3771,0,0,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0.2,6382,0,0,0,0,0,81,0,0,0,Everton,West Brom,Bournemouth,Chelsea,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordy,Clasie,MID,SOU,4700000,0,19,0.351851851851852,7.48620961386919E-08,4.04255319148936E-06,0,3755,3,10,0,0,0,0,0,4,195,-3,0,19,3,0.3,0,1.4,0,0,1,0,1,0.1,1938,0,183,0,0,674,34,0,0,87,West Brom,Everton,Burnley,Leicester,Swansea,0,0,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Adam,Clayton,MID,MID,4300000,2,33,2.1,4.88372093023256E-07,7.67441860465116E-06,0,25012,4,13,0,0,0,0,0,7.7,1038,-2,0,33,2,0.6,0,2.6,0,0,5,0,1,0.7,33013,0,0,0,0,1261,4951,0,0,196,Man Utd,Leicester,Watford,West Ham,West Brom,1.3,2.2,1.4,1.4,1.6,1,1.7,1.3,1.2,2.5,1.6,1.3,1.3,2.3,1,1.1,1.1,1,1.6,1
Tom,Cleverley,MID,EVE,5200000,1,13,0.240740740740741,4.62962962962963E-08,2.5E-06,0,7883,1,9,0,0,0,0,0,2.5,77,-3,0,13,3,0.1,0,0.6,0,0,0,0,0,0.1,1354,0,241,0,0,407,53,0,0,60,Hull City,Southampton,Man City,Crystal Palace,Stoke,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Gael,Clichy,DEF,MCI,5200000,6,31,3.1,5.96153846153846E-07,5.96153846153846E-06,0,45300,0,8,0,0,0,0,0,6,553,-3,0,31,3,0.6,0,3,1,0,3,0,0,1.1,16854,0,166,0,0,821,1080,0,0,184,Liverpool,Burnley,Everton,Tottenham,West Ham,3.4,3.8,2.7,3.7,3.9,3.1,3,2.4,2.4,4,3.9,4.1,2.7,3.6,3.5,3.5,3,3.3,2.8,2.8
Sam,Clucas,MID,HUL,4700000,2,35,1.9,4.04255319148936E-07,7.4468085106383E-06,0,3395,5,37,0,0,0,0,0,7.4,57,-3,0,35,3,0.4,0,2,0,0,1,0,1,0.1,1809,0,0,0,0,1564,124,0,0,256,Everton,West Brom,Bournemouth,Chelsea,Man Utd,1.4,1,1.6,1,1.1,1,1,1.9,1.2,1.4,1,1.2,1.5,1,1.1,1.7,1,2.1,1.1,1.2
Nathaniel,Clyne,DEF,LIV,5700000,2,65,3.6,6.31578947368421E-07,1.14035087719298E-05,0,269492,0,21,0,0,0,0,0,11.4,17040,2,0,65,-2,0.7,0,4,9,0,5,0,2,12,328987,0,387,0,1,1620,10006,0,0,363,Man City,Sunderland,Man Utd,Swansea,Chelsea,4,2.8,2.6,4.1,3.9,3.9,4.8,2.3,5.1,4.9,3.5,4.3,5.2,4.5,3.6,4.3,3.2,5.1,4.3,4.2
Seamus,Coleman,DEF,EVE,5500000,6,58,3.9,7.09090909090909E-07,1.05454545454545E-05,0,180891,3,19,0,0,0,3,0,10.5,2711,0,0,58,0,0.7,0,3.6,5,0,3,0,0,4.8,235213,0,327,0,1,1326,16671,0,0,260,Hull City,Southampton,Man City,Crystal Palace,Stoke,4.3,5.7,4.5,4.4,4.8,5.8,3.8,4.8,3.7,5.1,5.2,4.4,3,4.3,5.5,4.6,4.5,3.6,4.9,4.8
