FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW7Forecast,GW8Forecast,GW9Forecast,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Nacho,Monreal,DEF,ARS,6000000,6,20,3.3,5.5E-07,3.33333333333333E-06,0,86098,1,7,0,0,0,0,0,3.3,5504,0,0,20,0,0.5,0,3,3,0,2,0,0,4.6,27796,0,511,0,0,523,6825,0,0,123,Burnley,Swansea,Middlesbrough,Sunderland,Tottenham,2.5,3.2,2.8,3.3,3.7,2.3,4.9,4.2,4.4,2.7,2.4,3.3,4,3.4,3.8,4.8,3.3,2.6,2.9,3.5,3.9,3.8,3.3,2.7,4.6,3.9,3,3.2,3.3,2.4,4.4,3.4
Jefferson,Montero,MID,SWA,5200000,0,4,0.222222222222222,4.27350427350427E-08,7.69230769230769E-07,0,6277,0,2,0,0,0,0,0,0.8,363,-3,0,4,3,0.1,0,0.3,0,0,0,0,0,0.1,1703,0,202,0,0,120,29,0,0,30,Liverpool,Arsenal,Watford,Stoke,Man Utd,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Alberto,Moreno,DEF,LIV,4700000,0,2,0.111111111111111,2.36406619385343E-08,4.25531914893617E-07,0,111059,1,3,0,0,0,0,0,0.4,7553,-3,0,2,3,0.1,0,0.3,0,0,0,0,0,2.2,7339,0,394,0,0,105,602,0,0,12,Swansea,Man Utd,West Brom,Crystal Palace,Watford,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Wes,Morgan,DEF,LEI,5000000,0,21,3.5,7E-07,4.2E-06,0,286246,0,11,0,0,0,1,0,4.2,48569,0,0,21,0,0.4,0,2,0,0,2,0,0,22.8,184353,0,549,0,0,540,15223,0,0,110,Southampton,Chelsea,Crystal Palace,Tottenham,West Brom,5.2,1.9,4.9,2.5,4.3,2.3,3.7,2.5,3.6,2.6,3.6,4.3,5.2,2.3,4.5,2.7,1.8,3.3,3,5.2,3.9,3.5,3.3,5.2,4.2,2,3.2,4.6,2.5,4.3,1.8,5.2
James,Morrison,MID,WBA,4800000,1,3,0.166666666666667,3.47222222222222E-08,6.25E-07,0,2260,0,0,0,0,0,0,0,0.6,158,-2,0,3,2,0.1,0,0.7,0,0,0,0,0,0.1,409,0,266,0,0,34,27,0,0,9,Sunderland,Tottenham,Liverpool,Man City,Leicester,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Victor,Moses,MID,CHE,5500000,0,10,0.555555555555556,1.01010101010101E-07,1.81818181818182E-06,0,4649,0,0,0,0,0,1,0,1.8,663,0,0,10,0,0.1,0,0.7,0,0,0,0,0,0.2,3896,0,127,0,0,61,130,0,0,35,Hull City,Leicester,Man Utd,Southampton,Everton,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Lys,Mousset,FWD,BOU,5300000,0,0,0,0,0,0,1884,0,0,0,0,0,0,0,0,125,-2,0,0,2,0,0,0,0,0,0,0,0,0.1,434,0,0,0,0,0,70,0,0,0,Watford,Hull City,Tottenham,Middlesbrough,Sunderland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marc,Muniesa,DEF,STK,4300000,0,0,0,0,0,0,2757,0,0,0,0,0,0,0,0,220,-2,0,0,2,0,0,0,0,0,0,0,0,0.1,505,0,111,0,0,0,93,0,0,0,Man Utd,Sunderland,Hull City,Swansea,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ahmed,Musa,FWD,LEI,7100000,0,5,0.277777777777778,3.91236306729265E-08,7.04225352112676E-07,0,331045,0,5,0,0,0,0,0,0.7,15289,-4,0,5,4,0,0,0.3,0,0,0,0,0,3.9,24779,0,0,0,0,155,436,0,0,16,Southampton,Chelsea,Crystal Palace,Tottenham,West Brom,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Shkodran,Mustafi,DEF,ARS,6000000,6,10,0.555555555555556,9.25925925925926E-08,1.66666666666667E-06,0,7907,0,2,0,0,0,0,0,1.7,1268,0,0,10,0,0.6,0,3.3,0,0,1,0,0,0.7,27580,0,0,0,0,270,7516,0,0,64,Burnley,Swansea,Middlesbrough,Sunderland,Tottenham,0.3,0.3,0.3,0.3,0.3,0.3,0.5,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3
