FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Hal,Robson-Kanu,FWD,WBA,5000000,1,15,0.294117647058824,5.88235294117647E-08,3E-06,0,12191,0,1,0,0,0,0,0,3,769,0,0,15,0,0.2,0,1,0,0,0,0,1,0.2,17061,0,0,0,0,96,482,0,0,41,Arsenal,Southampton,Hull City,Tottenham,Sunderland,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Jay,Rodriguez,MID,SOU,6300000,15,32,0.627450980392157,9.95953937130408E-08,5.07936507936508E-06,0,16938,0,4,0,0,0,3,0,5.1,474,-2,0,32,2,0.6,0,3.8,5,0,1,0,0,0.5,19146,0,56,0,1,324,15012,0,0,74,Tottenham,West Brom,Everton,Burnley,Leicester,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Jack,Rodwell,MID,SUN,4300000,0,17,0.333333333333333,7.75193798449612E-08,3.95348837209302E-06,0,79049,2,15,0,0,0,0,0,4,1364,-2,0,17,2,0,0,0,1,0,0,0,1,0.8,64861,0,112,0,0,639,35,0,0,89,Man Utd,Burnley,Liverpool,Stoke,West Brom,0,0,0,0,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Marcos,Rojo,DEF,MUN,5200000,6,28,3.1,5.96153846153846E-07,5.38461538461538E-06,0,17980,3,7,0,0,0,0,0,5.4,878,-3,0,28,3,0.7,0,3.4,3,0,3,0,0,0.8,20834,0,192,0,0,759,6297,0,0,166,Sunderland,Middlesbrough,West Ham,Liverpool,Stoke,3.3,3.1,3.8,4,3.9,3.7,1.8,3.4,2.9,4,3.3,2.9,3.4,3.5,2.3,2.9,2.5,3.2,4.1,2.7,3.3
Sergio,Romero,GLK,MUN,4700000,0,0,0,0,0,0,3080,0,0,0,0,0,0,0,0,80,-3,0,0,3,0,0,0,0,0,0,0,0,0.1,702,0,40,0,0,0,28,0,0,0,Sunderland,Middlesbrough,West Ham,Liverpool,Stoke,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salomon,Rondon,FWD,WBA,6600000,1,74,4.4,6.66666666666667E-07,1.12121212121212E-05,0,350772,1,21,0,0,0,7,0,11.2,26511,1,0,74,-1,0.7,0,4.8,8,0,3,0,2,8.1,566721,0,354,0,1,1443,51212,0,0,212,Arsenal,Southampton,Hull City,Tottenham,Sunderland,4.9,4.2,6.2,4,6.1,4.8,5.1,5,5.6,5.7,4.4,5.2,4.5,4.7,5.4,5.7,5.2,6.6,4.6,4.5,5.5
Wayne,Rooney,FWD,MUN,8600000,5,40,2.9,3.37209302325581E-07,4.65116279069767E-06,0,245903,4,10,0,0,0,1,0,4.7,1761,-4,0,40,4,0.2,0,1.6,3,0,3,0,5,2.7,132327,0,509,0,0,814,12589,0,0,169,Sunderland,Middlesbrough,West Ham,Liverpool,Stoke,3.4,2.8,2.7,3.2,2.6,3.9,2.7,3.1,2.9,3.1,2.2,2.6,2.9,3.2,2.5,2.3,2.5,3.6,2.7,2.1,3.2
Danny,Rose,DEF,TOT,5900000,11,61,5.1,8.64406779661017E-07,1.03389830508475E-05,0,242688,6,8,0,0,0,2,0,10.3,7262,-1,0,61,1,0.9,0,5.4,6,0,5,0,2,6.2,177507,0,346,0,2,1066,13556,0,0,260,Southampton,Watford,Chelsea,West Brom,Man City,5.4,5,6.6,7.3,5.2,4.3,6.9,5.6,7.4,7.4,5.9,7.6,4.5,4.9,7.3,7.6,3.4,7.4,5.5,6,5.6
Jack,Rose,GLK,WBA,4000000,0,0,0,0,0,0,2820,0,0,0,0,0,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0.3,7610,0,0,0,0,0,112,0,0,0,Arsenal,Southampton,Hull City,Tottenham,Sunderland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wayne,Routledge,MID,SWA,4700000,2,42,2.8,5.95744680851064E-07,8.93617021276596E-06,0,26387,1,23,0,0,0,2,0,8.9,1382,-3,0,42,3,0.7,0,3.4,1,0,3,0,1,0.5,24240,0,269,0,0,1054,3852,0,0,149,West Ham,Bournemouth,Crystal Palace,Arsenal,Liverpool,2.4,2.9,2,1.7,1.4,2.6,1.5,3.4,1.5,3.3,2,1.7,2.6,2.4,1.6,2.2,2.3,2.1,2.8,2.6,2.4
