FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW9Forecast,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Adam,Matthews,DEF,SUN,4000000,0,0,0,0,0,0,985,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,203,0,4,0,0,0,20,0,0,0,West Ham,Arsenal,Bournemouth,Hull City,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alfie,Mawson,DEF,SWA,4500000,0,0,0,0,0,0,166,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,279,0,0,0,0,0,26,0,0,0,Watford,Stoke,Man Utd,Everton,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dieumerci,Mbokani,FWD,HUL,5500000,0,6,0.25,4.54545454545455E-08,1.09090909090909E-06,0,2689,0,4,0,0,0,0,0,1.1,591,0,0,6,0,0.1,0,0.7,0,0,0,0,1,0.1,4063,0,0,0,0,104,56,0,0,18,Stoke,Watford,Southampton,Sunderland,West Brom,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
James,McArthur,MID,CRY,4900000,2,28,4.7,9.59183673469388E-07,5.71428571428571E-06,0,16982,1,7,0,0,0,2,0,5.7,8671,-1,0,28,1,1.1,0,5.3,4,0,0,0,1,1.1,54644,0,282,0,0,482,2077,0,0,104,Leicester,Liverpool,Burnley,Man City,Swansea,5,3.7,4.7,4.1,5.9,5,5.7,5.1,4.5,5.6,4,4.6,4.8,4.8,3.8,6,5,5.5,4.9,4.4,4.7,4.1,4.4,3.1,6.7,3.2,6.2,3.9,4.1,5.5
Gareth,McAuley,DEF,WBA,4800000,2,29,3.6,7.5E-07,6.04166666666667E-06,0,170294,0,8,0,0,0,1,0,6,30552,3,0,29,-3,0.4,0,2,1,0,2,0,0,24.7,668613,0,339,0,1,720,7440,0,0,129,Liverpool,Man City,Leicester,Burnley,Hull City,4.5,3.7,2.7,4.8,4.4,3.6,3,3.5,3.1,4.9,3.7,3.5,4,4.2,3.8,5,4.8,5.4,4.5,3.2,4.7,3,3.9,4.5,5.2,3.1,4.5,3.3,3.7,4.1
Oliver,McBurnie,FWD,SWA,4500000,0,1,0.0416666666666667,9.25925925925926E-09,2.22222222222222E-07,0,2513,0,0,0,0,0,0,0,0.2,212,0,0,1,0,0,0,0,0,0,0,0,0,0.1,4243,0,0,0,0,5,223,0,0,3,Watford,Stoke,Man Utd,Everton,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex,McCarthy,GLK,SOU,4400000,0,0,0,0,0,0,3215,0,0,0,0,0,0,0,0,169,-1,0,0,1,0,0,0,0,0,0,0,0,0.2,532,0,82,0,0,0,26,0,0,0,Man City,Chelsea,Hull City,Liverpool,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James,McCarthy,MID,EVE,4800000,1,4,0.166666666666667,3.47222222222222E-08,8.33333333333333E-07,0,9997,0,3,0,0,0,0,0,0.8,98,-2,0,4,2,0.1,0,0.3,0,0,0,0,0,0.2,1710,0,365,0,0,161,44,0,0,22,Burnley,West Ham,Chelsea,Swansea,Southampton,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
James,McClean,MID,WBA,5000000,5,24,3.4,6.8E-07,4.8E-06,0,6980,2,4,0,0,0,1,0,4.8,594,0,0,24,0,0.6,0,3,1,0,2,0,2,0.2,7520,0,336,0,0,438,399,0,0,96,Liverpool,Man City,Leicester,Burnley,Hull City,1.7,2.7,2.9,4.2,3.4,3,2.3,3,3.3,2.2,2.5,2.6,2.2,4.1,4.3,3.3,2.8,4,2.8,2.7,1.9,3.2,3.3,3.3,2.4,2.1,4.6,2.7,2.9,3.6
Luke,McGee,GLK,TOT,4000000,0,0,0,0,0,0,1582,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0.1,2243,0,0,0,0,0,80,0,0,0,Bournemouth,Leicester,Arsenal,West Ham,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
