FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Gokhan,Inler,MID,LEI,4400000,0,0,0,0,0,0,9237,0,0,0,0,0,0,0,0,47,-1,0,0,1,0,0,0,0,0,0,0,0,0.2,3708,0,20,0,0,0,1,0,0,0,Sunderland,Man City,Bournemouth,Stoke,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stephen,Ireland,MID,STK,4400000,0,0,0,0,0,0,375,0,0,0,0,0,0,0,0,8,-1,0,0,1,0,0,0,0,0,0,0,0,0,238,0,18,0,0,0,13,0,0,0,Burnley,Arsenal,Southampton,Leicester,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lloyd,Isgrove,MID,SOU,4500000,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,122,0,0,0,0,0,7,0,0,0,Crystal Palace,Middlesbrough,Stoke,Bournemouth,Tottenham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Branislav,Ivanovic,DEF,CHE,5800000,1,19,0.487179487179487,8.39964633068081E-08,3.27586206896552E-06,0,164858,2,9,0,0,0,0,0,3.3,2685,-2,0,19,2,0.1,0,0.7,2,0,1,0,1,3.5,31809,0,414,0,0,555,208,0,0,126,Man City,West Brom,Sunderland,Crystal Palace,Bournemouth,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Alex,Iwobi,MID,ARS,5800000,0,30,0.769230769230769,1.3262599469496E-07,5.17241379310345E-06,0,105367,1,7,0,0,0,0,0,5.2,6006,-2,0,30,2,0.1,0,0.7,2,0,4,0,3,0.9,82386,0,150,0,0,558,465,0,0,121,West Ham,Stoke,Everton,Man City,West Brom,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
Phil,Jagielka,DEF,EVE,5100000,2,34,2.6,5.09803921568628E-07,6.66666666666667E-06,0,135159,2,15,0,0,0,0,0,6.7,12745,1,0,34,-1,0.1,0,0.7,3,0,2,0,1,5.6,257321,0,221,0,0,1080,814,0,0,208,Man Utd,Watford,Arsenal,Liverpool,Leicester,2.3,1.9,3.7,3.9,1.3,2,3.2,2.4,2.2,2.6,3.6,1.9,2.7,1.6,2.9,2.9,2.6,1.3,2.7,3.3,2.7,2.6,1.9,2.9,3
Eldin,Jakupovic,GLK,HUL,4000000,0,23,0.58974358974359,1.47435897435897E-07,5.75E-06,0,289529,0,7,0,21,0,0,0,5.8,23584,0,0,23,0,0,0,0,0,0,1,0,0,18.9,443716,0,0,1,1,450,4625,0,0,114,Middlesbrough,Crystal Palace,Tottenham,West Ham,Man City,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Daniel,James,MID,SWA,4500000,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,148,0,0,0,0,0,26,0,0,0,Tottenham,Sunderland,West Brom,Middlesbrough,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matthew,James,MID,LEI,4500000,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,23,0,0,0,Sunderland,Man City,Bournemouth,Stoke,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daryl,Janmaat,DEF,WAT,4800000,2,16,0.41025641025641,8.54700854700855E-08,3.33333333333333E-06,0,5747,0,10,0,0,0,1,0,3.3,664,-2,0,16,2,0.6,0,3,0,0,0,0,1,0.2,13623,0,0,0,0,468,1297,0,0,90,West Brom,Everton,Man City,Sunderland,Crystal Palace,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Vincent,Janssen,FWD,TOT,7600000,1,32,2.5,3.28947368421053E-07,4.21052631578947E-06,0,100154,0,6,0,0,0,1,0,4.2,2094,-4,1,32,4,0.3,0,2.3,3,0,1,0,2,1.1,57620,0,0,0,0,598,498,-1,0,59,Swansea,Man Utd,Hull City,Burnley,Southampton,2.8,1.7,3.2,3.1,1.6,1.9,2.2,2.4,2.2,2,2.3,1.8,2.3,2.9,2.5,2.5,1.7,2.5,2.4,2.8,1.8,2.1,2.1,2.3,2.7
Adnan,Januzaj,MID,SUN,5300000,1,10,0.256410256410256,4.83792936623125E-08,1.88679245283019E-06,0,49594,0,14,0,0,0,0,0,1.9,303,-2,0,10,2,0.1,0,0.3,0,0,0,0,0,0.5,31060,0,33,0,0,504,59,0,1,47,Leicester,Swansea,Chelsea,Watford,Man Utd,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mile,Jedinak,MID,CRY,4500000,0,2,2,4.44444444444444E-07,4.44444444444444E-07,0,24846,0,1,0,0,0,0,0,0.4,112,0,0,2,0,0,0,0,0,0,0,0,0,0.2,1093,0,118,0,0,90,9,0,0,8,Southampton,Hull City,Man Utd,Chelsea,Watford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carl,Jenkinson,DEF,ARS,5000000,0,2,0.0512820512820513,1.02564102564103E-08,4E-07,0,3010,0,1,0,0,0,0,0,0.4,2431,0,0,2,0,0.1,0,0.7,0,0,0,0,0,0.2,9095,0,178,0,0,82,474,0,0,12,West Ham,Stoke,Everton,Man City,West Brom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glen,Johnson,DEF,STK,4700000,8,13,0.333333333333333,7.09219858156028E-08,2.76595744680851E-06,0,9089,0,6,0,0,0,0,0,2.8,116,-3,0,13,3,0.6,0,3,2,0,1,0,0,0.1,3650,0,324,0,0,394,1990,0,0,69,Burnley,Arsenal,Southampton,Leicester,Liverpool,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
,Jonathan Benteke,FWD,CRY,4400000,0,1,0.0256410256410256,5.82750582750583E-09,2.27272727272727E-07,0,9877,0,0,0,0,0,0,0,0.2,493,-1,0,1,1,0,0,0,0,0,0,0,0,0.1,11969,0,0,0,0,7,290,0,0,3,Southampton,Hull City,Man Utd,Chelsea,Watford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
