FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Bacary,Sagna,DEF,MCI,5300000,0,14,0.466666666666667,8.80503144654088E-08,2.64150943396226E-06,0,211659,1,3,0,0,0,0,0,2.6,6064,-2,0,14,2,0,0,0,0,0,1,0,1,2.1,23964,0,386,0,0,347,70,0,0,73,Middlesbrough,Crystal Palace,Burnley,Chelsea,Leicester,0,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Diafra,Sakho,FWD,WHU,5800000,0,0,0,0,0,0,4398,0,0,0,0,0,0,0,0,149,-2,0,0,2,0,0,0,0,0,0,0,0,0.1,1181,0,286,0,0,0,105,0,0,0,Stoke,Tottenham,Man Utd,Arsenal,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mamadou,Sakho,DEF,LIV,4700000,0,0,0,0,0,0,2940,0,0,0,0,0,0,0,0,92,-3,0,0,3,0,0,0,0,0,0,0,0,0.1,427,0,273,0,0,0,28,0,0,0,Watford,Southampton,Sunderland,Bournemouth,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bakary,Sako,MID,CRY,5400000,0,0,0,0,0,0,619,0,0,0,0,0,0,0,0,38,-1,0,0,1,0,0,0,0,0,0,0,0,0,235,0,220,0,0,0,27,0,0,0,Burnley,Man City,Swansea,Southampton,Hull City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexis,Sanchez,MID,ARS,11400000,13,70,7,6.14035087719298E-07,6.14035087719298E-06,0,283655,1,9,0,0,0,6,0,6.1,26686,4,-1,70,-4,0.6,1,7,8,0,4,0,4,25.6,896911,0,690,0,3,818,83470,1,0,211,Tottenham,Man Utd,Bournemouth,West Ham,Stoke,7.9,9.3,10.3,8,8.2,7.9,7.6,8.1,7.6,7.4,9.9,9.9,8.8,7.3,7.9,8.6,6.2,10.5,9.4,6.9,8.4,9,9.9,9.3,7.6,9.3,8.8,8.8
Leroy,Sane,MID,MCI,7600000,0,12,0.4,5.26315789473684E-08,1.57894736842105E-06,0,25498,0,2,0,0,0,0,0,1.6,1420,-4,0,12,4,0.4,0,3,2,0,0,0,1,0.2,5871,0,0,0,0,213,462,0,0,52,Middlesbrough,Crystal Palace,Burnley,Chelsea,Leicester,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Yaya,Sanogo,FWD,ARS,4700000,0,0,0,0,0,0,6831,0,0,0,0,0,0,0,0,289,-3,0,0,3,0,0,0,0,0,0,0,0,0.2,2501,0,0,0,0,0,237,0,0,0,Tottenham,Man Utd,Bournemouth,West Ham,Stoke,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jeffrey,Schlupp,DEF,LEI,4900000,1,3,0.1,2.04081632653061E-08,6.12244897959184E-07,0,13160,0,2,0,0,0,0,0,0.6,233,-1,0,3,1,0.1,0,0.7,0,0,0,0,0,0.2,1005,0,236,0,0,118,135,0,0,17,West Brom,Watford,Middlesbrough,Sunderland,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kasper,Schmeichel,GLK,LEI,5000000,3,30,3.8,7.6E-07,6E-06,0,284995,0,11,0,35,0,0,0,6,39010,0,0,30,0,0.5,0,2.7,3,0,2,0,0,7.8,69247,0,475,0,0,686,3402,0,0,164,West Brom,Watford,Middlesbrough,Sunderland,Man City,0,0,0,3.1,4.2,2.8,3.9,4.9,5.7,2.9,4.7,3.4,2.6,4.4,3.2,5.7,4.7,4.3,3.7,5.7,5.3,2.3,4.2,5.5,3.5,4.9,2.4,5.7
Morgan,Schneiderlin,MID,MUN,4600000,0,1,0.0333333333333333,7.2463768115942E-09,2.17391304347826E-07,0,10013,0,0,0,0,0,0,0,0.2,189,-4,0,1,4,0,0,0,0,0,0,0,0,0.2,1224,0,317,0,0,6,85,0,0,3,Swansea,Arsenal,West Ham,Everton,Tottenham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bastian,Schweinsteiger,MID,MUN,5100000,0,0,0,0,0,0,5479,0,0,0,0,0,0,0,0,171,-4,1,0,4,0,0,0,0,0,0,0,0,0.1,643,0,200,0,0,0,105,-1,0,0,Swansea,Arsenal,West Ham,Everton,Tottenham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xherdan,Shaqiri,MID,STK,6400000,1,33,5.5,8.59375E-07,5.15625E-06,0,342504,1,3,0,0,0,3,0,5.2,62016,-1,0,33,1,1,0,6.3,5,0,3,0,0,4.6,180233,0,302,0,1,471,10662,0,0,101,West Ham,Bournemouth,Watford,Burnley,Arsenal,0,0,6.3,7.7,4.8,6.3,8.2,3.8,4.6,6.7,6.9,7.3,6.8,6.3,5.8,4.9,7,4.8,5.8,6.1,5.6,5.1,6,6.7,6.5,4.7,4.4,5.6
Luke,Shaw,DEF,MUN,5400000,6,28,4,7.40740740740741E-07,5.18518518518519E-06,0,592197,0,5,0,0,0,0,0,5.2,14124,-1,0,28,1,0.4,0,2.3,2,0,3,0,1,13.3,363293,0,92,0,1,525,14960,0,0,132,Swansea,Arsenal,West Ham,Everton,Tottenham,4.4,5.3,5.9,3.3,5.5,5.2,4.6,5.2,4.4,4.8,5.9,5,4.6,2.6,4.8,3.4,6,4.6,4,4.9,4.8,4.3,4.6,3.7,4.6,5.3,4.4,5.4
Ryan,Shawcross,DEF,STK,4900000,2,27,2.7,5.51020408163265E-07,5.51020408163265E-06,0,35541,3,17,0,0,0,0,0,5.5,2726,-1,0,27,1,1.3,0,6.3,2,0,2,0,2,2.1,35006,0,176,0,1,900,7266,0,0,161,West Ham,Bournemouth,Watford,Burnley,Arsenal,3.3,3.9,2.4,3.2,3.7,3,2.7,3.3,1.9,2.6,2.5,2.3,2.6,2.7,3.2,2.6,2.3,1.9,2.5,1.4,2.1,3.9,2.5,2.5,3.9,2.3,3.5,2.7
,Sheyi Ojo,MID,LIV,4800000,0,0,0,0,0,0,761,0,0,0,0,0,0,0,0,18,-2,0,0,2,0,0,0,0,0,0,0,0,0,68,0,81,0,0,0,8,0,0,0,Watford,Southampton,Sunderland,Bournemouth,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gylfi,Sigurdsson,MID,SWA,7200000,5,38,3.8,5.27777777777778E-07,5.27777777777778E-06,0,203436,1,18,0,0,0,2,0,5.3,7882,-3,0,38,3,0.7,0,5.3,4,0,1,0,2,3.4,41001,0,586,0,0,807,3980,0,0,146,Man Utd,Everton,Crystal Palace,Tottenham,Sunderland,4.1,3.1,3.1,2.9,4.6,3.9,4.4,3.5,4.7,3.7,2.2,2.2,3.4,2.9,5.2,2.7,4.4,4.2,2.8,3.9,3.2,3.1,3.9,3.4,4,3.7,4.4,3.4
David,Silva,MID,MCI,8700000,3,27,3,3.44827586206897E-07,3.10344827586207E-06,0,178984,1,8,0,0,0,0,0,3.1,4586,-3,0,27,3,0.5,0,4,2,0,2,0,2,2.3,45773,0,351,0,0,775,2775,0,0,163,Middlesbrough,Crystal Palace,Burnley,Chelsea,Leicester,2.9,2.4,2.2,2.2,2.5,2.8,1.6,2.8,1.5,3.3,1.9,2.4,2,2.7,1.8,3.1,3,2.5,1.9,1.8,1.7,2.4,2.2,2.5,2.9,2.3,3.9,2.5
